1262k  1.70.35.119:8084
1243k  1.70.35.119:8085
1228k  1.70.35.119:8083
1221k  1.70.35.119:8082
1054k  110.179.80.13:8083
1051k  223.12.12.89:8084
1051k  223.12.12.89:8083
1044k  110.179.80.208:8083
1042k  110.179.80.218:8083
1036k  223.12.12.89:8082
920k  110.179.80.208:8084
746k  110.179.80.218:8082
665k  223.10.11.187:8083
659k  110.179.80.208:8082
603k  110.178.52.75:8085
596k  110.179.80.13:8082
499k  110.178.52.75:8082
437k  1.70.32.19:8084
424k  223.10.11.187:8082
352k  1.70.32.19:8085
352k  1.70.32.19:8083
289k  110.178.52.75:8083
282k  1.70.32.19:8082
